"V1"|"taxaID"|"superkingdom"|"phylum"|"class"|"order"|"family"|"genus"|"species"|"score"
"MH734972.1"|70566|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Akabane orthobunyavirus"|0.83868620544672
"NC_025353.1"|198833|"Viruses"|"Negarnaviricota"|"Monjiviricetes"|"Mononegavirales"|"Rhabdoviridae"|"Vesiculovirus"|"Alagoas vesiculovirus"|0.946610292652622
"AY898809.1"|44017|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Murray Valley encephalitis virus"|0.897890715394169
"KJ399977.1"|318843|"Viruses"|"Negarnaviricota"|"Monjiviricetes"|"Mononegavirales"|"Rhabdoviridae"|"Sripuvirus"|"Almpiwar sripuvirus"|0.655390398111194
"NC_043636.1"|45767|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"San Angelo orthobunyavirus"|0.348830019822344
"MG029271.1"|334520|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Caraparu orthobunyavirus"|0.892234538681805
"NC_055531.1"|932699|"Viruses"|"Negarnaviricota"|"Monjiviricetes"|"Mononegavirales"|"Rhabdoviridae"|"Barhavirus"|"Bahia barhavirus"|0.741284504299983
"MW809639.1"|40053|"Viruses"|"Duplornaviricota"|"Resentoviricetes"|"Reovirales"|"Reoviridae"|"Orbivirus"|"Corriparta virus"|0.165867618983611
"KU173874.1"|40054|"Viruses"|"Duplornaviricota"|"Resentoviricetes"|"Reovirales"|"Reoviridae"|"Orbivirus"|"Epizootic hemorrhagic disease virus"|0.862627631053329
"HQ630929.1"|201490|"Viruses"|"Duplornaviricota"|"Resentoviricetes"|"Reovirales"|"Reoviridae"|"Orbivirus"|"Equine encephalosis virus"|0.380569248460233
"KM507345.1"|35304|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Bunyamwera orthobunyavirus"|0.776288922177628
"NC_009026.2"|64303|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Aroa virus"|0.548387855524197
"EU564827.1"|35310|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Bwamba orthobunyavirus"|0.144874250283465
"MK861965.1"|80935|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Cache Valley orthobunyavirus"|0.367059186566621
"MG664851.1"|37124|"Viruses"|"Kitrinoviricota"|"Alsuviricetes"|"Martellivirales"|"Togaviridae"|"Alphavirus"|"Chikungunya virus"|0.666463825618848
"AB189120.1"|11053|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Dengue virus"|0.746047286083922
"LC079089.1"|59300|"Viruses"|"Kitrinoviricota"|"Alsuviricetes"|"Martellivirales"|"Togaviridae"|"Alphavirus"|"Getah virus"|0.472575296647847
"NC_038737.1"|1678234|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Guama orthobunyavirus"|0.0524139443878084
"NC_034486.1"|80941|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Guaroa orthobunyavirus"|0.62469135900028
"FJ185036.1"|11072|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Japanese encephalitis virus"|0.769944522995502
"MT227562.1"|59301|"Viruses"|"Kitrinoviricota"|"Alsuviricetes"|"Martellivirales"|"Togaviridae"|"Alphavirus"|"Mayaro virus"|0.519122031982988
"AF075256.1"|60876|"Viruses"|"Kitrinoviricota"|"Alsuviricetes"|"Martellivirales"|"Togaviridae"|"Alphavirus"|"Pixuna virus"|0.382995357271284
"KJ782455.1"|11588|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Phenuiviridae"|"Phlebovirus"|"Rift Valley fever phlebovirus"|0.213834058726206
"KY616985.1"|11034|"Viruses"|"Kitrinoviricota"|"Alsuviricetes"|"Martellivirales"|"Togaviridae"|"Alphavirus"|"Sindbis virus"|0.407094110734761
"MH484335.1"|273347|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Tensaw orthobunyavirus"|0.544712060829625
"KR013237.1"|1678230|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|NA|"Trubanaman virus"|0.889994941651821
"HQ842619.1"|40060|"Viruses"|"Duplornaviricota"|"Resentoviricetes"|"Reovirales"|"Reoviridae"|"Orbivirus"|"Umatilla virus"|0.128376438515261
"KY426757.1"|64286|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Usutu virus"|0.747369095450267
"AY823299.1"|11036|"Viruses"|"Kitrinoviricota"|"Alsuviricetes"|"Martellivirales"|"Togaviridae"|"Alphavirus"|"Venezuelan equine encephalitis virus"|0.109780399361625
"AF473866.1"|11277|"Viruses"|"Negarnaviricota"|"Monjiviricetes"|"Mononegavirales"|"Rhabdoviridae"|"Vesiculovirus"|"Indiana vesiculovirus"|0.543465276714414
"FJ483549.1"|11082|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"West Nile virus"|0.542423069244251
"AF052446.1"|11089|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Yellow fever virus"|0.903879707679152
"KY989511.1"|64320|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Zika virus"|0.0867381396237761
"JF459991.1"|64293|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Tembusu virus"|0.471361042466015
"NC_008719.1"|44026|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Sepik virus"|0.466632381314412
"MF380430.1"|64290|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Bagaza virus"|0.290222228970379
"KM225264.1"|1534467|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Kokobera virus"|0.36666325526312
"NC_043110.1"|38837|"Viruses"|"Kitrinoviricota"|"Flasuviricetes"|"Amarillovirales"|"Flaviviridae"|"Flavivirus"|"Banzi virus"|0.813940060324967
"JN572070.1"|273352|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Macaua orthobunyavirus"|0.996336430311203
"KY910431.1"|11575|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Maguari orthobunyavirus"|0.846858362900093
"MH484311.1"|80938|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Main Drain orthobunyavirus"|0.607389419572428
"NC_034496.1"|292278|"Viruses"|"Negarnaviricota"|"Ellioviricetes"|"Bunyavirales"|"Peribunyaviridae"|"Orthobunyavirus"|"Marituba orthobunyavirus"|0.850362232187763
"KF680222.1"|11023|"Viruses"|"Kitrinoviricota"|"Alsuviricetes"|"Martellivirales"|"Togaviridae"|"Alphavirus"|"Middelburg virus"|0.0115112168714404
"MF993533.1"|60875|"Viruses"|"Kitrinoviricota"|"Alsuviricetes"|"Martellivirales"|"Togaviridae"|"Alphavirus"|"Mucambo virus"|0.153743404662237
"MT121985.1"|59302|"Viruses"|"Kitrinoviricota"|"Alsuviricetes"|"Martellivirales"|"Togaviridae"|"Alphavirus"|"Ndumu virus"|0.150478645926341
