"V1","taxaID","superkingdom","phylum","class","order","family","genus","species","num_contigs"
"MH734972.1",70566,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Akabane orthobunyavirus",83868
"NC_025353.1",198833,"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Vesiculovirus","Alagoas vesiculovirus",946
"AY898809.1",44017,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Murray Valley encephalitis virus",89789
"KJ399977.1",318843,"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Sripuvirus","Almpiwar sripuvirus",65539
"NC_043636.1",45767,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","San Angelo orthobunyavirus",3488
"MG029271.1",334520,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Caraparu orthobunyavirus",892
"NC_055531.1",932699,"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Barhavirus","Bahia barhavirus",7412
"MW809639.1",40053,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Orbivirus","Corriparta virus",1658
"KU173874.1",40054,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Orbivirus","Epizootic hemorrhagic disease virus",8626
"HQ630929.1",201490,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Orbivirus","Equine encephalosis virus",38056
"KM507345.1",35304,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Bunyamwera orthobunyavirus",77628
"NC_009026.2",64303,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Aroa virus",54838
"EU564827.1",35310,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Bwamba orthobunyavirus",144874
